code,year,population,life_exp,health_expenditure
ESP,2017,46868594,82.986,3130.828
ESP,2018,47092817,83.096,3197.016
ESP,2019,47435120,83.479,3296.513
ESP,2020,47679482,82.241,3450.01
ESP,2021,47735670,82.951,3641.873
ESP,2022,47828386,82.366,3632.969
SWE,2000,8872100,79.739,2790.724
SWE,2001,8896018,79.836,3033.381
SWE,2002,8925044,79.935,3179.618
SWE,2003,8958432,80.195,3245.695
SWE,2004,8993806,80.546,3274.567
SWE,2005,9029770,80.621,3342.849
SWE,2006,9080626,80.832,3443.949
SWE,2007,9148277,80.97,3534.601
SWE,2008,9219903,81.137,3592.131
SWE,2009,9298738,81.363,3667.61
SWE,2010,9378234,81.519,3639.65
SWE,2011,9449262,81.758,4632.172
SWE,2012,9519479,81.73,4702.303
SWE,2013,9600621,81.935,4777.724
SWE,2014,9696437,82.224,4880.42
SWE,2015,9799482,82.184,5004.13
SWE,2016,9923281,82.339,5070.4
SWE,2017,10057864,82.438,5091.078
SWE,2018,10175401,82.532,5177.359
SWE,2019,10279122,83.052,5184.229
SWE,2020,10353680,82.427,5255.061
SWE,2021,10416136,83.02,5506.738
SWE,2022,10487333,83.046,5309.833
CHE,2000,7184003,79.834,4543.22
CHE,2001,7226391,80.251,4769.968
CHE,2002,7278744,80.444,4944.481
CHE,2003,7333450,80.532,5035.696
CHE,2004,7384196,81.055,5172.537
CHE,2005,7431824,81.236,5191.861
CHE,2006,7478514,81.549,5151.272
CHE,2007,7545386,81.703,5256.996
CHE,2008,7641729,81.971,5375.368
CHE,2009,7737642,81.989,5561.899
CHE,2010,7825751,82.287,5563.512
CHE,2011,7914378,82.574,5678.678
CHE,2012,7998927,82.617,5779.036
CHE,2013,8091197,82.689,5962.55
CHE,2014,8190238,83.084,6029.355
CHE,2015,8283940,82.846,6258.916
CHE,2016,8374902,83.446,6408.625
CHE,2017,8453628,83.414,6396.715
CHE,2018,8516339,83.564,6345.23
CHE,2019,8577526,83.78,6548.326
CHE,2020,8640582,83.063,6705.251
CHE,2021,8707018,83.648,7020.862
CHE,2022,8792180,83.2,6927.356
TUR,2000,65425958,71.931,651.767
TUR,2001,66245126,72.271,673.833
TUR,2002,67048793,72.605,726.726
TUR,2003,67831736,72.906,748.981
TUR,2004,68592621,73.223,806.033
TUR,2005,69329555,73.51,853.959
TUR,2006,70045352,73.804,943.153
TUR,2007,70750595,74.129,991.401
TUR,2008,71562344,74.38,994.128
TUR,2009,72464845,74.679,985.811
TUR,2010,73346766,74.964,965.312
TUR,2011,74215200,74.823,987.092
TUR,2012,75197195,75.552,971.765
TUR,2013,76403032,76.171,1025.461
TUR,2014,78036154,76.452,1046.599
TUR,2015,80014221,76.539,1040.108
TUR,2016,81652086,76.595,1117.572
TUR,2017,83083668,77.037,1155.621
TUR,2018,84415966,77.454,1178.464
TUR,2019,85357671,77.737,1229.871
TUR,2020,86091691,76.525,1335.144
TUR,2021,86686255,75.722,1549.98
TUR,2022,87058470,77.591,1653.348
GBR,2000,59057336,77.849,2315.664
GBR,2001,59288095,78.121,2479.73
GBR,2002,59540763,78.237,2671.792
GBR,2003,59820385,78.33,2817.149
GBR,2004,60169964,78.9,2972.583
GBR,2005,60596108,79.106,3069.162
GBR,2006,61051093,79.347,3158.371
GBR,2007,61535860,79.534,3300.055
GBR,2008,62027303,79.655,3349.489
GBR,2009,62506221,80.156,3473.197
GBR,2010,63006484,80.391,3515.102
GBR,2011,63509285,80.796,3492.072
GBR,2012,63960487,80.859,3551.593
GBR,2013,64389386,80.923,3628.428
GBR,2014,64865914,81.153,3720.638
GBR,2015,65382107,80.919,3794.577
GBR,2016,65893359,81.067,3841.793
GBR,2017,66354474,81.164,3870.447
GBR,2018,66752473,81.123,3963.948
GBR,2019,67110958,81.443,4104.451
GBR,2020,67351860,80.385,4443.973
GBR,2021,67668789,80.708,4826.027
GBR,2022,68179315,81.074,4551.586
USA,2000,281484127,76.806,6079.524
USA,2001,284279629,76.919,6412.631
USA,2002,287084336,76.988,6877.728
USA,2003,289908091,77.137,7246.686
USA,2004,292786247,77.535,7484.33
USA,2005,295716665,77.526,7696.982
USA,2006,298730210,77.798,7915.234
USA,2007,301844227,78.047,8110.043
USA,2008,304970328,78.127,8105.268
USA,2009,308023451,78.476,8415.489
USA,2010,311062786,78.668,8506.66
USA,2011,314105078,78.702,8505.433
USA,2012,317115348,78.817,8629.069
USA,2013,320110753,78.817,8675.903
USA,2014,323115378,78.879,8949.265
USA,2015,326126498,78.722,9360.496
USA,2016,329179421,78.686,9634.001
USA,2017,332204656,78.648,9769.038
USA,2018,335056495,78.8,9933.547
USA,2019,337790068,78.916,10168.64
USA,2020,339436157,77.011,11031.29
USA,2021,340161441,76.384,10837.454
USA,2022,341534041,77.979,10331.449
